iter	Passed	Remaining
875	1932	273
876	1934	271
877	1936	269
878	1937	266
879	1937	264
880	1939	262
881	1940	259
882	1941	257
883	1943	254
884	1945	252
885	1945	250
886	1948	248
887	1950	245
888	1952	243
889	1954	241
890	1954	239
891	1956	236
892	1958	234
893	1961	232
894	1963	230
895	1965	228
896	1967	225
897	1969	223
898	1971	221
899	1973	219
900	1976	217
901	1978	214
902	1980	212
903	1981	210
904	1982	208
905	1984	205
906	1986	203
907	1989	201
908	1989	199
909	1991	197
910	1994	194
911	1996	192
912	1996	190
913	1998	188
914	2000	185
915	2003	183
916	2004	181
917	2004	179
918	2006	176
919	2009	174
920	2011	172
921	2013	170
922	2015	168
923	2017	165
924	2017	163
925	2018	161
926	2020	159
927	2022	156
928	2024	154
929	2026	152
930	2028	150
931	2030	148
932	2032	145
933	2034	143
934	2036	141
935	2039	139
936	2041	137
937	2043	135
938	2045	132
939	2046	130
940	2047	128
941	2049	126
942	2050	123
943	2052	121
944	2055	119
945	2057	117
946	2059	115
947	2061	113
948	2063	110
949	2064	108
950	2066	106
951	2069	104
952	2069	102
953	2069	99
954	2072	97
955	2072	95
956	2075	93
957	2077	91
958	2079	88
959	2081	86
960	2082	84
961	2084	82
962	2085	80
963	2087	77
964	2089	75
965	2091	73
966	2093	71
967	2095	69
968	2097	67
969	2099	64
970	2101	62
971	2103	60
972	2103	58
973	2104	56
974	2104	53
975	2106	51
976	2108	49
977	2110	47
978	2113	45
979	2114	43
980	2116	40
981	2118	38
982	2120	36
983	2122	34
984	2124	32
985	2126	30
986	2127	28
987	2129	25
988	2132	23
989	2134	21
990	2136	19
991	2136	17
992	2137	15
993	2139	12
994	2141	10
995	2143	8
996	2144	6
997	2146	4
998	2146	2
999	2148	0
2498	58
977	2501	56
978	2503	53
979	2505	51
980	2507	48
981	2510	46
982	2512	43
983	2514	40
984	2516	38
985	2518	35
986	2521	33
987	2523	30
988	2525	28
989	2528	25
990	2530	22
991	2531	20
992	2531	17
993	2534	15
994	2536	12
995	2538	10
996	2541	7
997	2543	5
998	2545	2
999	2546	0
71
973	6174	164
974	6177	158
975	6179	151
976	6183	145
977	6186	139
978	6189	132
979	6192	126
980	6195	119
981	6197	113
982	6200	107
983	6203	100
984	6205	94
985	6208	88
986	6210	81
987	6213	75
988	6216	69
989	6219	62
990	6221	56
991	6224	50
992	6227	43
993	6230	37
994	6232	31
995	6235	25
996	6237	18
997	6241	12
998	6244	6
999	6247	0
